chunk_id,document_id,source_tier,automatic_labels,automatic_confidence,human_labels,annotator_notes
FIXTURE-001#title.0,FIXTURE-001,clinical_guideline,AD-CRIT-01;AD-CRIT-04;AD-ELIG-01,0.267,,
FIXTURE-001#abstract.0,FIXTURE-001,clinical_guideline,AD-CRIT-03;AD-CRIT-04;AD-BIOM-01;AD-BIOM-02;AD-BIOM-03;AD-BIOM-09;AD-BIOM-10,0.2,,
FIXTURE-005#title.0,FIXTURE-005,clinical_trial,,0.0,,
FIXTURE-005#abstract.0,FIXTURE-005,clinical_trial,AD-DDX-01,0.1,,
FIXTURE-008#title.0,FIXTURE-008,consensus_statement,AD-BIOM-05;AD-PHARM-03;AD-PHARM-04;AD-ELIG-01;AD-ARIA-01;AD-ARIA-02;AD-ARIA-03;AD-ARIA-04,0.4,,
FIXTURE-008#abstract.0,FIXTURE-008,consensus_statement,AD-CRIT-04;AD-APOE-01;AD-APOE-02;AD-APOE-03;AD-PHARM-01;AD-ELIG-03;AD-ARIA-01;AD-ARIA-02;AD-ARIA-03;AD-ARIA-04,0.4,,
FIXTURE-002#abstract.0,FIXTURE-002,peer_reviewed_primary,,0.0,,
FIXTURE-007#title.0,FIXTURE-007,peer_reviewed_primary,AD-BIOM-05;AD-PHARM-03;AD-PHARM-04;AD-ELIG-01,0.4,,
FIXTURE-002#title.0,FIXTURE-002,peer_reviewed_primary,AD-CRIT-04;AD-BIOM-01;AD-BIOM-02;AD-BIOM-03,0.2,,
FIXTURE-004#title.0,FIXTURE-004,peer_reviewed_primary,AD-DDX-01;AD-DDX-03,0.2,,
FIXTURE-004#abstract.0,FIXTURE-004,peer_reviewed_primary,AD-DDX-02,0.267,,
FIXTURE-006#abstract.0,FIXTURE-006,review,AD-CRIT-02,0.133,,
FIXTURE-006#title.0,FIXTURE-006,review,AD-CRIT-04;AD-DDX-01;AD-DDX-03,0.4,,
FIXTURE-009#title.0,FIXTURE-009,review,AD-PHARM-05;AD-DEPR-01;AD-DEPR-02;AD-DDX-01;AD-DDX-03,0.4,,
FIXTURE-009#abstract.0,FIXTURE-009,review,AD-PHARM-06;AD-DEPR-01,0.4,,
FIXTURE-007#abstract.0,FIXTURE-007,peer_reviewed_primary,,0.0,,
FIXTURE-003#title.0,FIXTURE-003,peer_reviewed_primary,AD-CRIT-04;AD-DDX-01;AD-DDX-02;AD-DDX-03,0.2,,
FIXTURE-003#abstract.0,FIXTURE-003,peer_reviewed_primary,AD-DDX-01;AD-DDX-02;AD-DDX-03,0.267,,
