canonical_document_id,duplicate_document_id,duplicate_reason,similarity_method,similarity_score,decision
PMC302190.1,PMC302190.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC1469995.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC1519062.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC1563968.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC1566292.1,doi,exact_key,1.0,recorded_not_deleted
PMC1804203.1,PMC1804203.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2387294.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2416760.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2442723.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2483545.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2526383.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2546466.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2546476.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2578784.1,doi,exact_key,1.0,recorded_not_deleted
PMC2588578.1,PMC2588578.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2590314.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2590388.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2595833.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2602142.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2602145.1,doi,exact_key,1.0,recorded_not_deleted
PMC2605177.2,PMC2605177.3,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2654795.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2654798.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2656293.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2656295.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2656296.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2656298.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2656299.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2656300.1,doi,exact_key,1.0,recorded_not_deleted
