pmcid,pmid,url,http_status,reason,attempts,timestamp_utc
PMC9585745,36266688,https://pmc-oa-opendata.s3.amazonaws.com/PMC9585745.1/PMC9585745.1.xml,,"md5 mismatch (expected 807e6bec42d972ac245c6211c5b1658d, got 12922723c90ec651419bd89a29cc5325)",4,2026-09-01T16:25:41+00:00
PMC9587555,36273219,https://pmc-oa-opendata.s3.amazonaws.com/PMC9587555.1/PMC9587555.1.xml,,"md5 mismatch (expected 070f26d254d783442d56b452ea970144, got 0c2b5d64f20160435a91c2419d6f7993)",4,2026-09-01T16:26:24+00:00
PMC11103341,38160045,https://pmc-oa-opendata.s3.amazonaws.com/PMC11103341.1/PMC11103341.1.xml,,"md5 mismatch (expected 0459707644d00e017428d14cfb093c69, got f905c4d3086986bf0fc063349e061aba)",4,2026-09-01T18:45:45+00:00
PMC10962908,38165338,https://pmc-oa-opendata.s3.amazonaws.com/PMC10962908.1/PMC10962908.1.xml,,"md5 mismatch (expected af86879c79b7dbfccf696c6b1993204c, got fcb1644357ea928903ecc0f3625e5475)",4,2026-09-01T18:46:37+00:00
PMC10836119,38313266,https://pmc-oa-opendata.s3.amazonaws.com/PMC10836119.1/PMC10836119.1.xml,,"md5 mismatch (expected 545888ebc0890fb5de6f26cc0d57a032, got e765407e55cfb92669b1753e53f6bda7)",4,2026-09-01T18:59:23+00:00
PMC11103230,38760031,https://pmc-oa-opendata.s3.amazonaws.com/PMC11103230.1/PMC11103230.1.xml,,"md5 mismatch (expected f5ba128f93777847e902667a9a77f2fb, got e20b08fe6969b39389b4bb2085447c31)",4,2026-09-01T19:34:24+00:00
PMC11082584,38764533,https://pmc-oa-opendata.s3.amazonaws.com/PMC11082584.1/PMC11082584.1.xml,,"md5 mismatch (expected 6f69484762114dfb008d47080fb15500, got 54ca570de90c341aceab87cb72e50a52)",4,2026-09-01T19:35:12+00:00
PMC11082589,38764884,https://pmc-oa-opendata.s3.amazonaws.com/PMC11082589.1/PMC11082589.1.xml,,"md5 mismatch (expected 80f51fcfa28e5968e1ba2e43821e374b, got 78914cd1e4d7d4b4d0d514673fd0d0ee)",4,2026-09-01T19:35:32+00:00
PMC11099244,38765672,https://pmc-oa-opendata.s3.amazonaws.com/PMC11099244.1/PMC11099244.1.xml,,"md5 mismatch (expected 5f940c9abf70282a43da9f1107334252, got 407dbf32bb036fd992622d8fbd370207)",4,2026-09-01T19:35:55+00:00
PMC11099617,38766675,https://pmc-oa-opendata.s3.amazonaws.com/PMC11099617.1/PMC11099617.1.xml,,"md5 mismatch (expected 9ff4ab4091ab6e8e715a163f1fc095e7, got 9b6438b760984f020a1c50c365e29841)",4,2026-09-01T19:36:22+00:00
PMC11864052,39051913,https://pmc-oa-opendata.s3.amazonaws.com/PMC11864052.1/PMC11864052.1.xml,,"md5 mismatch (expected 57da1540075789a385210613288e37f8, got b6f05e90b329c7e77683ac0abf237bcf)",4,2026-09-01T20:00:07+00:00
PMC11872860,39085534,https://pmc-oa-opendata.s3.amazonaws.com/PMC11872860.1/PMC11872860.1.xml,,"md5 mismatch (expected 087759e721a9f9b28aeac9d899bff2fb, got a300b16f686c1ca96d992e3f03b65c0c)",4,2026-09-01T20:03:25+00:00
PMC11864294,39541803,https://pmc-oa-opendata.s3.amazonaws.com/PMC11864294.1/PMC11864294.1.xml,,"md5 mismatch (expected 2c0e9582bc054389d29657f225427fd8, got e7b3868bdafb70caa9ee9d128a70331e)",4,2026-09-01T20:38:25+00:00
PMC11875122,39623940,https://pmc-oa-opendata.s3.amazonaws.com/PMC11875122.1/PMC11875122.1.xml,,"md5 mismatch (expected a19d997daab2ad9e0b91810dca22eba0, got aa4db88c6594771ca1e98a299bf5c546)",4,2026-09-01T20:45:29+00:00
PMC11865390,39674842,https://pmc-oa-opendata.s3.amazonaws.com/PMC11865390.1/PMC11865390.1.xml,,"md5 mismatch (expected d44ff1b511379356053ff137367f95d4, got 9cbf62d3da2bbc6cf15f73f5aee197bb)",4,2026-09-01T20:49:20+00:00
PMC11761678,39868217,https://pmc-oa-opendata.s3.amazonaws.com/PMC11761678.1/PMC11761678.1.xml,,"md5 mismatch (expected 99be7c6e8b8e4fc4280e9c256963bb1a, got d004553f3bba6d8a9737252763491e63)",4,2026-09-01T21:06:52+00:00
PMC11863357,39868793,https://pmc-oa-opendata.s3.amazonaws.com/PMC11863357.1/PMC11863357.1.xml,,"md5 mismatch (expected 62260657085eaeae5418c9871d66b22e, got d3acfb322ed19c7d9dc4f22fdc999249)",4,2026-09-01T21:07:25+00:00
PMC11869911,39947099,https://pmc-oa-opendata.s3.amazonaws.com/PMC11869911.1/PMC11869911.1.xml,,"md5 mismatch (expected 7c2a65d44164a3902ab50d77616cde2d, got 84411aede40333766bb4578729ffa63f)",4,2026-09-01T21:14:22+00:00
PMC11859624,39998021,https://pmc-oa-opendata.s3.amazonaws.com/PMC11859624.1/PMC11859624.1.xml,,"md5 mismatch (expected 2fd181721bdad1475da40a787b7cd4f1, got 84f31141452a092cc011210c82fd87e0)",4,2026-09-01T21:19:41+00:00
PMC11859661,40000573,https://pmc-oa-opendata.s3.amazonaws.com/PMC11859661.1/PMC11859661.1.xml,,"md5 mismatch (expected 5a7c306324158b83dad1a465ef6297ba, got 3cd4954055cef4fde94834bdef3629ca)",4,2026-09-01T21:20:17+00:00
PMC11858207,40005250,https://pmc-oa-opendata.s3.amazonaws.com/PMC11858207.1/PMC11858207.1.xml,,"md5 mismatch (expected d629fede622dc684027d982454835f33, got 8aae19e9d9a95fa6326ba1e74de55c9a)",4,2026-09-01T21:21:07+00:00
PMC11863067,40008622,https://pmc-oa-opendata.s3.amazonaws.com/PMC11863067.1/PMC11863067.1.xml,,"md5 mismatch (expected c666044ec1e8c8cd26dd4752a318df47, got 43f185f1a04db6e9fe3c478ef1079b7c)",4,2026-09-01T21:21:37+00:00
PMC11863362,40008917,https://pmc-oa-opendata.s3.amazonaws.com/PMC11863362.1/PMC11863362.1.xml,,"md5 mismatch (expected cc7b87d688806966d0f6cdb7337d258a, got 72860e3a12c23c9319172b77d936ee94)",4,2026-09-01T21:21:58+00:00
PMC11866033,40009384,https://pmc-oa-opendata.s3.amazonaws.com/PMC11866033.1/PMC11866033.1.xml,,"md5 mismatch (expected c338164b8f247eb1721aa4d3fba399ec, got 0e9bbf3fc78d7230c15876efda3429ed)",4,2026-09-01T21:22:20+00:00
PMC11867000,40011070,https://pmc-oa-opendata.s3.amazonaws.com/PMC11867000.1/PMC11867000.1.xml,,"md5 mismatch (expected 7e9776ef86bf455051694b3248dda635, got fe09d1b4b567a53695e36e4a55e96a46)",4,2026-09-01T21:22:48+00:00
PMC11864919,40011077,https://pmc-oa-opendata.s3.amazonaws.com/PMC11864919.1/PMC11864919.1.xml,,"md5 mismatch (expected 80c893824e9ac105bc0a4647f79c1ed9, got db843c7c9dc4bc63db1b0739afe104ae)",4,2026-09-01T21:23:09+00:00
PMC11863512,40011801,https://pmc-oa-opendata.s3.amazonaws.com/PMC11863512.1/PMC11863512.1.xml,,"md5 mismatch (expected 925f7a4df22e75d12e1747c2694d4739, got c62989d6a963b07bffa1e762f4b674f8)",4,2026-09-01T21:23:32+00:00
PMC11863527,40011826,https://pmc-oa-opendata.s3.amazonaws.com/PMC11863527.1/PMC11863527.1.xml,,"md5 mismatch (expected 457991cf77604b01e044c71ea4c09f8b, got 4f0968e1ab336dcdc05af41e613d5267)",4,2026-09-01T21:23:53+00:00
PMC11861190,40012975,https://pmc-oa-opendata.s3.amazonaws.com/PMC11861190.1/PMC11861190.1.xml,,"md5 mismatch (expected 6defe40655eefdbf8878465390694f78, got 371dd967be1fc7f7b8a5f279ea824824)",4,2026-09-01T21:24:17+00:00
PMC11864292,40012995,https://pmc-oa-opendata.s3.amazonaws.com/PMC11864292.1/PMC11864292.1.xml,,"md5 mismatch (expected 8c20a188ef99c3c6310b8337128d419f, got 213070890bc8ef73e7a056f78f85a3e7)",4,2026-09-01T21:24:38+00:00
PMC11861546,40013095,https://pmc-oa-opendata.s3.amazonaws.com/PMC11861546.1/PMC11861546.1.xml,,"md5 mismatch (expected 3df64a08ed7cfc935a6ceacac7e701c0, got 4a60be759023da17e849a7fa10b2a7a2)",4,2026-09-01T21:24:59+00:00
PMC11860979,40013096,https://pmc-oa-opendata.s3.amazonaws.com/PMC11860979.1/PMC11860979.1.xml,,"md5 mismatch (expected 17bbc3a7ca0675a723b3eb60d8ab79b3, got 1970a5366c6547b79d487433a55710de)",4,2026-09-01T21:25:19+00:00
PMC11868583,40016187,https://pmc-oa-opendata.s3.amazonaws.com/PMC11868583.1/PMC11868583.1.xml,,"md5 mismatch (expected da38d1024bb07c0cc34535eaf0d65be8, got 6dd67b10fa52338ade6328fba22c063d)",4,2026-09-01T21:25:49+00:00
PMC11868391,40016209,https://pmc-oa-opendata.s3.amazonaws.com/PMC11868391.1/PMC11868391.1.xml,,"md5 mismatch (expected 6eec92bea39608a6ce9a77517efaa00f, got 42182931f5b5a489d8bbb38328a6656a)",4,2026-09-01T21:26:09+00:00
PMC11868567,40016250,https://pmc-oa-opendata.s3.amazonaws.com/PMC11868567.1/PMC11868567.1.xml,,"md5 mismatch (expected b2b5e26e594b60f049f9e370cd3cb07b, got 0189b22f64f1fda60b7282f7b0486c9e)",4,2026-09-01T21:26:29+00:00
PMC11868538,40016526,https://pmc-oa-opendata.s3.amazonaws.com/PMC11868538.1/PMC11868538.1.xml,,"md5 mismatch (expected 1c6986ded6ca8e53e3696c6d788f151c, got e0ccc6dfc6e58b110c4509a3cfba7108)",4,2026-09-01T21:26:52+00:00
PMC11867789,40016624,https://pmc-oa-opendata.s3.amazonaws.com/PMC11867789.1/PMC11867789.1.xml,,"md5 mismatch (expected 2624ad93df4fae78f0854dcec978b6bf, got 1d0943da9b47ff5db428603cf949cd3b)",4,2026-09-01T21:27:12+00:00
PMC11866831,40016637,https://pmc-oa-opendata.s3.amazonaws.com/PMC11866831.1/PMC11866831.1.xml,,"md5 mismatch (expected ea7d88bfa1395e13c87b3da235cca3ab, got 1c6e26fb24755e83d64207449e28449a)",4,2026-09-01T21:27:33+00:00
PMC11866666,40016783,https://pmc-oa-opendata.s3.amazonaws.com/PMC11866666.1/PMC11866666.1.xml,,"md5 mismatch (expected d7d2226b587e848200035a8ea4eed321, got fe4cae36a76e5dc1cdb2be139d50f58a)",4,2026-09-01T21:27:54+00:00
PMC11866898,40016812,https://pmc-oa-opendata.s3.amazonaws.com/PMC11866898.1/PMC11866898.1.xml,,"md5 mismatch (expected 3c6a19dd1f8f0cb289206182d61543bd, got 0d4653b53a7c855b63eacff4894a9f02)",4,2026-09-01T21:28:14+00:00
PMC11868682,40016994,https://pmc-oa-opendata.s3.amazonaws.com/PMC11868682.1/PMC11868682.1.xml,,"md5 mismatch (expected acbdf4988478b4a216b85e5810f90e36, got 691c639f17013793c886a61b1c80d33b)",4,2026-09-01T21:28:38+00:00
PMC11863209,40017567,https://pmc-oa-opendata.s3.amazonaws.com/PMC11863209.1/PMC11863209.1.xml,,"md5 mismatch (expected b21370e4b39b640ae57b296ee646130b, got 2265e863b7643922bbb93089d6f32197)",4,2026-09-01T21:29:02+00:00
PMC11865712,40018325,https://pmc-oa-opendata.s3.amazonaws.com/PMC11865712.1/PMC11865712.1.xml,,"md5 mismatch (expected 8af8691618c788f77bf245d74046e29d, got fba3e3d5d9e68a2bccea23d23a5006e5)",4,2026-09-01T21:29:23+00:00
PMC11865231,40018359,https://pmc-oa-opendata.s3.amazonaws.com/PMC11865231.1/PMC11865231.1.xml,,"md5 mismatch (expected b3abf829cee320f0ac971b4b86384848, got 522468c9e6243b83341d30bfc3080279)",4,2026-09-01T21:29:45+00:00
PMC11866213,40018468,https://pmc-oa-opendata.s3.amazonaws.com/PMC11866213.1/PMC11866213.1.xml,,"md5 mismatch (expected 91fe50336f813ce14f5c3867042d6add, got 6f571f3e47fabb4b27b212ab5467c641)",4,2026-09-01T21:30:04+00:00
PMC11865024,40018684,https://pmc-oa-opendata.s3.amazonaws.com/PMC11865024.1/PMC11865024.1.xml,,"md5 mismatch (expected 9646855eb8cc0cde4e2409339da075fc, got cdf72e5238e714a955871a746ab7e7b4)",4,2026-09-01T21:30:24+00:00
PMC11868282,40027465,https://pmc-oa-opendata.s3.amazonaws.com/PMC11868282.1/PMC11868282.1.xml,,"md5 mismatch (expected 70503e65a8ac23ddfd87cbb1358cf19a, got 52e9a3c990d45995edfeb0960d69baa1)",4,2026-09-01T21:31:21+00:00
PMC11863766,40034341,https://pmc-oa-opendata.s3.amazonaws.com/PMC11863766.1/PMC11863766.1.xml,,"md5 mismatch (expected 0244812724f5878cc2102bdece88085e, got 50053f08289c4ba7e306a4fd8db112d4)",4,2026-09-01T21:32:06+00:00
PMC11863729,40034343,https://pmc-oa-opendata.s3.amazonaws.com/PMC11863729.1/PMC11863729.1.xml,,"md5 mismatch (expected 718904c5d80b0ceab5c78b862b8c47f6, got a26abf3f3f902d89defde843322ce861)",4,2026-09-01T21:32:25+00:00
PMC11863742,40034344,https://pmc-oa-opendata.s3.amazonaws.com/PMC11863742.1/PMC11863742.1.xml,,"md5 mismatch (expected c781e78c614274390dd629b3c07c6d15, got 5ccc5655be1aed4056170248490b00e0)",4,2026-09-01T21:32:46+00:00
PMC11863731,40034349,https://pmc-oa-opendata.s3.amazonaws.com/PMC11863731.1/PMC11863731.1.xml,,"md5 mismatch (expected 11b88a09b39d9328aeb34944ea9fe08a, got 0101b154ac4c165dd92adbe3b4ebeec9)",4,2026-09-01T21:33:09+00:00
PMC11863758,40034354,https://pmc-oa-opendata.s3.amazonaws.com/PMC11863758.1/PMC11863758.1.xml,,"md5 mismatch (expected bcaad320ca424b464d3e7c27ae336e9d, got 54eba03109a64fd8c34a1fa26f9bf42b)",4,2026-09-01T21:33:31+00:00
PMC11863754,40034356,https://pmc-oa-opendata.s3.amazonaws.com/PMC11863754.1/PMC11863754.1.xml,,"md5 mismatch (expected 9ac4a20c0365606cba00cd6b394773d3, got 34432f3623372353f55793557f6c0335)",4,2026-09-01T21:33:52+00:00
PMC11863739,40034358,https://pmc-oa-opendata.s3.amazonaws.com/PMC11863739.1/PMC11863739.1.xml,,"md5 mismatch (expected 416955fd209ab1fcf699a1f81a9fab5a, got bac7fe30cc56f45420992cd39d8dcf00)",4,2026-09-01T21:34:13+00:00
PMC11863738,40034360,https://pmc-oa-opendata.s3.amazonaws.com/PMC11863738.1/PMC11863738.1.xml,,"md5 mismatch (expected 7c247bb6500d2c224e793204a8e852be, got 9526e1ce53a526ee196b574bb331e49a)",4,2026-09-01T21:34:33+00:00
PMC11863728,40034363,https://pmc-oa-opendata.s3.amazonaws.com/PMC11863728.1/PMC11863728.1.xml,,"md5 mismatch (expected 57ea660552d7df88514cde734e115667, got ef296805b3391da181975e6d78bf9e9f)",4,2026-09-01T21:34:52+00:00
PMC11863727,40034367,https://pmc-oa-opendata.s3.amazonaws.com/PMC11863727.1/PMC11863727.1.xml,,"md5 mismatch (expected f0dc2b5b4cf2ccee57a0c30d9afc63f1, got 55d62fa486c9954d850a10d90483f952)",4,2026-09-01T21:35:11+00:00
PMC11864267,40034508,https://pmc-oa-opendata.s3.amazonaws.com/PMC11864267.1/PMC11864267.1.xml,,"md5 mismatch (expected 68f7e71cead045ca1aa9d2c86b4cbca2, got 52eee2d040db8df0a40870c9dafbd056)",4,2026-09-01T21:35:34+00:00
PMC11864268,40034509,https://pmc-oa-opendata.s3.amazonaws.com/PMC11864268.1/PMC11864268.1.xml,,"md5 mismatch (expected 881fa8dac3fa6938f5e6ffbf954a3025, got 1e5fd60ab3ce0c0c08dae2d743917e6a)",4,2026-09-01T21:35:55+00:00
PMC11864258,40034511,https://pmc-oa-opendata.s3.amazonaws.com/PMC11864258.1/PMC11864258.1.xml,,"md5 mismatch (expected 5e09f7c72a7b9b6c19af1371215cea3b, got 79542bd0eb2796f6886b9b496748f918)",4,2026-09-01T21:36:15+00:00
PMC11864254,40034513,https://pmc-oa-opendata.s3.amazonaws.com/PMC11864254.1/PMC11864254.1.xml,,"md5 mismatch (expected 0c2b5c1f175b60ab7b00545a9adef719, got 4c266349759d7a5f26c6bf2e0f1b69b1)",4,2026-09-01T21:36:34+00:00
PMC11864256,40034518,https://pmc-oa-opendata.s3.amazonaws.com/PMC11864256.1/PMC11864256.1.xml,,"md5 mismatch (expected 1cced847ee4fbd7f0717abb6028befb0, got 9ee9a2e13057d7fc26b1bf8c6e7ea76f)",4,2026-09-01T21:36:56+00:00
PMC11864241,40034522,https://pmc-oa-opendata.s3.amazonaws.com/PMC11864241.1/PMC11864241.1.xml,,"md5 mismatch (expected 85d3c34fa4a073573e63af26644ca2fa, got c2c6a93e1aa85b6819b7d49e46882d69)",4,2026-09-01T21:37:17+00:00
PMC11864265,40034524,https://pmc-oa-opendata.s3.amazonaws.com/PMC11864265.1/PMC11864265.1.xml,,"md5 mismatch (expected 49bd55335868de8dc4a8ae22f8c5813e, got 76446afc47410222f33a0d92852ed416)",4,2026-09-01T21:37:38+00:00
PMC11864240,40034526,https://pmc-oa-opendata.s3.amazonaws.com/PMC11864240.1/PMC11864240.1.xml,,"md5 mismatch (expected e13dbe4abf6bc7d25bbc14589b12d436, got d8d5079f231463669c877b1743e71c3b)",4,2026-09-01T21:37:57+00:00
PMC13097789,41770019,https://pmc-oa-opendata.s3.amazonaws.com/PMC13097789.1/PMC13097789.1.xml,,"md5 mismatch (expected 3312c4bdf98f54d2b98a22329989acd1, got 7912ee8f0c68a48717079731dcc588cf)",4,2026-09-02T00:44:49+00:00
PMC13082890,41985900,https://pmc-oa-opendata.s3.amazonaws.com/PMC13082890.1/PMC13082890.1.xml,,"md5 mismatch (expected b20dcfe941aba9ea27b37557ffd485f8, got ddb1c90906a722c4473a4e4a9eb7ff9d)",4,2026-09-02T01:04:20+00:00
PMC13317736,42300138,https://pmc-oa-opendata.s3.amazonaws.com/PMC13317736.1/PMC13317736.1.xml,,"md5 mismatch (expected 7e7340a895a3182bbde3879f55883c13, got 7e33f09fd8a0defc87faecec3b33ab80)",4,2026-09-02T01:30:21+00:00
PMC13278316,42326500,https://pmc-oa-opendata.s3.amazonaws.com/PMC13278316.2/PMC13278316.2.xml,,"md5 mismatch (expected ed09ebe8141aea81f5605d2d17f4ada3, got 767b2f79c47eedd17e5015ea5a62e102)",4,2026-09-02T01:32:37+00:00
PMC13289427,42332831,https://pmc-oa-opendata.s3.amazonaws.com/PMC13289427.1/PMC13289427.1.xml,,"md5 mismatch (expected 1add205e240439a86d2e691292014d08, got b43bf260820f770abf4a52fca0ad6670)",4,2026-09-02T01:33:22+00:00
PMC13405269,42523383,https://pmc-oa-opendata.s3.amazonaws.com/PMC13405269.3/PMC13405269.3.xml,,"md5 mismatch (expected 7a9fda935f310c9f2cc764257b81f9a4, got 2c33b752522f0f95f56f5d5200152af1)",4,2026-09-02T01:47:22+00:00
PMC13082890,41985900,https://pmc-oa-opendata.s3.amazonaws.com/PMC13082890.1/PMC13082890.1.xml,,"md5 mismatch (expected ddb1c90906a722c4473a4e4a9eb7ff9d, got a895267b736f98bb5ce0d021144c172e)",8,2026-09-02T10:51:50+00:00
