pmcid,pmid,doi,title,license_code,is_retracted,is_manuscript,version,source_xml_url,resolved_url,expected_md5,actual_md5,md5_verified,filename,bytes,status,http_status,attempts,downloaded_at_utc,error
PMC467027,38099372,10.4103/IJO.IJO_914_23,The use of calprotectin and other inflammatory parameters in the investigation of pseudoexfoliation syndrome concomitant glaucoma and systemic diseases,CC BY-NC-SA,no,no,1,s3://pmc-oa-opendata/PMC467027.1/PMC467027.1.xml?md5=601d02a03cb88beeb9995e370738f7db,https://pmc-oa-opendata.s3.amazonaws.com/PMC467027.1/PMC467027.1.xml,601d02a03cb88beeb9995e370738f7db,601d02a03cb88beeb9995e370738f7db,yes,PMC467027.xml,70997,ok,200,1,2026-09-01T18:41:35+00:00,
PMC7611841,34588692,10.1038/s41586-021-03911-7,Structure-based Classification of Tauopathies,TDM,no,yes,1,s3://pmc-oa-opendata/PMC7611841.1/PMC7611841.1.xml?md5=5b210bb171e8ebfc5da6fa41e8bf0df8,https://pmc-oa-opendata.s3.amazonaws.com/PMC7611841.1/PMC7611841.1.xml,5b210bb171e8ebfc5da6fa41e8bf0df8,5b210bb171e8ebfc5da6fa41e8bf0df8,yes,PMC7611841.xml,157197,ok,200,1,2026-09-01T14:46:16+00:00,
PMC7612005,34806027,10.1038/s43587-021-00117-4,Dissociable effects of APOE-ε4 and β-amyloid pathology on visual working memory,TDM,no,yes,1,s3://pmc-oa-opendata/PMC7612005.1/PMC7612005.1.xml?md5=9b60f0496a39b5e21ac6ab8b2431c8bc,https://pmc-oa-opendata.s3.amazonaws.com/PMC7612005.1/PMC7612005.1.xml,9b60f0496a39b5e21ac6ab8b2431c8bc,9b60f0496a39b5e21ac6ab8b2431c8bc,yes,PMC7612005.xml,122268,ok,200,1,2026-09-01T14:57:57+00:00,
PMC7612255,34880495,10.1038/s41586-021-04199-3,Structure of pathological TDP-43 filaments from ALS with FTLD,TDM,no,yes,1,s3://pmc-oa-opendata/PMC7612255.1/PMC7612255.1.xml?md5=76ad91e2975dede46ec981d523e26cf6,https://pmc-oa-opendata.s3.amazonaws.com/PMC7612255.1/PMC7612255.1.xml,76ad91e2975dede46ec981d523e26cf6,76ad91e2975dede46ec981d523e26cf6,yes,PMC7612255.xml,135518,ok,200,1,2026-09-01T15:02:25+00:00,
PMC7612266,34719512,10.3233/JPD-212874,Rate of hospitalizations and underlying reasons among people with Parkinson’s disease– Population-based cohort study in UK primary care,CC BY,no,yes,1,s3://pmc-oa-opendata/PMC7612266.1/PMC7612266.1.xml?md5=d48a4eec1bbb6975ed7b171d1b56b93f,https://pmc-oa-opendata.s3.amazonaws.com/PMC7612266.1/PMC7612266.1.xml,d48a4eec1bbb6975ed7b171d1b56b93f,d48a4eec1bbb6975ed7b171d1b56b93f,yes,PMC7612266.xml,92300,ok,200,1,2026-09-01T14:53:21+00:00,
PMC7612543,34852644,10.1161/STROKEAHA.121.035560,"Aortic Stiffness, Pulse Pressure, and Cerebral Pulsatility Progress Despite Best Medical Management: The OXVASC Cohort",CC BY,no,no,2,s3://pmc-oa-opendata/PMC7612543.2/PMC7612543.2.xml?md5=26402ed4c682f4efccd720ade78eaba1,https://pmc-oa-opendata.s3.amazonaws.com/PMC7612543.2/PMC7612543.2.xml,26402ed4c682f4efccd720ade78eaba1,26402ed4c682f4efccd720ade78eaba1,yes,PMC7612543.xml,77747,ok,200,1,2026-09-01T15:00:16+00:00,
PMC7613066,35660461,10.1016/j.neuroimage.2022.119344,"A multi-site, multi-participant magnetoencephalography resting-state dataset to study dementia: The BioFIND dataset",CC BY,no,yes,1,s3://pmc-oa-opendata/PMC7613066.1/PMC7613066.1.xml?md5=43d88f3db27b0f78feb05a89d67556e9,https://pmc-oa-opendata.s3.amazonaws.com/PMC7613066.1/PMC7613066.1.xml,43d88f3db27b0f78feb05a89d67556e9,43d88f3db27b0f78feb05a89d67556e9,yes,PMC7613066.xml,147437,ok,200,1,2026-09-01T15:47:44+00:00,
PMC7613307,33491464,10.1080/13607863.2021.1875192,Cultural Adaptation of Alzheimer’s Disease Assessment Scale – Cognitive Subscale (ADAS-Cog) for use in India and validation of the Tamil version for South Indian population,TDM,no,yes,1,s3://pmc-oa-opendata/PMC7613307.1/PMC7613307.1.xml?md5=c94fef3e0d4a7383b3e21bd959c243b2,https://pmc-oa-opendata.s3.amazonaws.com/PMC7613307.1/PMC7613307.1.xml,c94fef3e0d4a7383b3e21bd959c243b2,c94fef3e0d4a7383b3e21bd959c243b2,yes,PMC7613307.xml,94174,ok,200,1,2026-09-01T14:29:48+00:00,
PMC7614156,34895381,10.1017/cjn.2021.507,Cognitive Correlates of Visual and Minor Hallucinations in Parkinson’s Disease,TDM,no,yes,1,s3://pmc-oa-opendata/PMC7614156.1/PMC7614156.1.xml?md5=bf4da05e916f1c9f77f024856101bee4,https://pmc-oa-opendata.s3.amazonaws.com/PMC7614156.1/PMC7614156.1.xml,bf4da05e916f1c9f77f024856101bee4,bf4da05e916f1c9f77f024856101bee4,yes,PMC7614156.xml,72593,ok,200,1,2026-09-01T15:03:21+00:00,
PMC7614323,36880684,10.1088/1741-2552/acbc4a,How to entrain a selected neuronal rhythm but not others: open-loop dithered brain stimulation for selective entrainment,CC BY,no,yes,1,s3://pmc-oa-opendata/PMC7614323.1/PMC7614323.1.xml?md5=fe73eea8d7ac1d574c941c36f63a2943,https://pmc-oa-opendata.s3.amazonaws.com/PMC7614323.1/PMC7614323.1.xml,fe73eea8d7ac1d574c941c36f63a2943,fe73eea8d7ac1d574c941c36f63a2943,yes,PMC7614323.xml,181735,ok,200,1,2026-09-01T17:08:23+00:00,
