pmcid,pmid,canonical_date,canonical_date_precision,canonical_date_type,date_source,recovered_month,recovered_month_source,split_june_2024
PMC467027,38099372,2024-05-01,day,,pubmed,,,pre
PMC7611841,34588692,2021-10,month,,pubmed,,,pre
PMC7612005,34806027,2021-11,month,,pubmed,,,pre
PMC7612255,34880495,2022-01,month,,pubmed,,,pre
PMC7612266,34719512,2022,year,,pubmed,,,pre
PMC7612543,34852644,2022-04,month,,pubmed,,,pre
PMC7613066,35660461,2022-09,month,,pubmed,,,pre
PMC7613307,33491464,2022-02,month,,pubmed,,,pre
PMC7614156,34895381,2023-01,month,,pubmed,,,pre
PMC7614323,36880684,2023-03-07,day,,pubmed,,,pre
PMC7614331,36936539,2022-08-09,day,,pubmed,,,pre
PMC7614565,37223108,2023-05,month,,pubmed,,,pre
PMC7614777,37248905,2023,year,,pubmed,,,pre
PMC7615156,36709053,2023-02,month,,pubmed,,,pre
PMC7615275,37694368,2023,year,,pubmed,,,pre
PMC7615574,37385025,2023-08-15,day,,pubmed,,,pre
PMC7615783,38559705,2023-07,month,,pubmed,,,pre
PMC7615979,38584319,2024-06,month,,pubmed,,,post
PMC7615981,38105553,2024-06,month,,pubmed,,,post
PMC7616172,36378750,2022-11-15,day,,pubmed,,,pre
PMC7616177,34822784,2021-11-24,day,,pubmed,,,pre
PMC7616492,38659294,2024-12,month,,pubmed,,,post
PMC7616546,39417728,2024-10,month,,pubmed,,,post
PMC7616849,38663994,2025-03-24,day,,pubmed,,,post
PMC7616996,37303116,2023-12,month,,pubmed,,,pre
PMC7617257,40086903,2025-03,month,,pubmed,,,post
PMC7617421,39956979,2025-04,month,,pubmed,,,post
PMC7618016,40822027,2023-12,month,,pubmed,,,pre
PMC7618018,39031360,2024,year,,pubmed,,,unknown
PMC7618020,38837281,2024-06,month,,pubmed,,,post
PMC7618088,40771046,2025-05,month,,pubmed,,,post
PMC7618856,39096931,2024-09,month,,pubmed,,,post
PMC7618942,34329959,2021-10-15,day,,pubmed,,,pre
PMC7619077,40788702,2025-12,month,,pubmed,,,post
PMC7619195,41775023,2026-05,month,,pubmed,,,post
PMC7748409,32515603,2021-09,month,,pubmed,,,pre
PMC7765738,32594886,2022-04,month,,pubmed,,,pre
PMC7775330,32608300,2021-10,month,,pubmed,,,pre
PMC7785685,32632205,2021-09,month,,pubmed,,,pre
PMC7793388,33420609,2022-02,month,,pubmed,,,pre
PMC7794099,32641180,2024-11,month,,pubmed,,,post
PMC7855081,32721906,2022-04,month,,pubmed,,,pre
PMC7867665,32763848,2022-02,month,,pubmed,,,pre
PMC7884062,33589778,2021-12,month,,pubmed,,,pre
PMC7891467,33604822,2021-10,month,,pubmed,,,pre
PMC7909751,32819188,2022-08,month,,pubmed,,,pre
PMC7925698,32883179,2021-11,month,,pubmed,,,pre
PMC7927761,33660158,2021-12,month,,pubmed,,,pre
PMC7940454,32901518,2021-09,month,,pubmed,,,pre
PMC7956907,33127308,2021-12,month,,pubmed,,,pre
PMC7962078,33725290,2021-12,month,,pubmed,,,pre
PMC7989248,33640979,2022-04-20,day,,pubmed,,,pre
PMC8062578,33095080,2022-01,month,,pubmed,,,pre
PMC8071832,33100109,2021-10,month,,pubmed,,,pre
PMC8071835,33106082,2022-04,month,,pubmed,,,pre
PMC8071839,33103615,2022-08,month,,pubmed,,,pre
PMC8075023,33904035,2022-03,month,,pubmed,,,pre
PMC8079027,33899700,2021-12,month,,pubmed,,,pre
PMC8079545,33115336,2022-05,month,,pubmed,,,pre
PMC8088446,33131283,2022-02,month,,pubmed,,,pre
PMC8096329,33910450,2021-12,month,,pubmed,,,pre
PMC8106977,32367736,2021-09,month,,pubmed,,,pre
PMC8174540,34085094,2022-01,month,,pubmed,,,pre
PMC8175453,33274833,2021-09,month,,pubmed,,,pre
PMC8182348,34097124,2021-11,month,,pubmed,,,pre
PMC8196233,34266752,2021-11,month,,pubmed,,,pre
PMC8212388,33222510,2022-03,month,,pubmed,,,pre
PMC8216267,33587723,2021-09,month,,pubmed,,,pre
PMC8236064,33357171,2022,year,,pubmed,,,pre
PMC8237017,34043836,2021-11,month,,pubmed,,,pre
PMC8242436,33942510,2021-09,month,,pubmed,,,pre
PMC8243401,33377800,2022,year,,pubmed,,,pre
PMC8243641,34265624,2021-09-15,day,,pubmed,,,pre
PMC8245097,34184614,2021-12,month,,pubmed,,,pre
PMC8250614,33848360,2021-09,month,,pubmed,,,pre
PMC8253673,34216306,2021-10,month,,pubmed,,,pre
PMC8253869,33388800,2021-09,month,,pubmed,,,pre
