pmcid,pmid,source_category,eligibility_status,fulltext_eligible,retracted,is_manuscript,license_code,license_band,flags,eligibility_reason
PMC467027,38099372,pmc-fulltext,eligible,yes,no,no,CC BY-NC-SA,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC7611841,34588692,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7612005,34806027,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript;opinion,admissible; retrieval-time gates (currency/authority) apply
PMC7612255,34880495,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7612266,34719512,pmc-fulltext,eligible,yes,no,yes,CC BY,open,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7612543,34852644,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC7613066,35660461,pmc-fulltext,eligible,yes,no,yes,CC BY,open,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7613307,33491464,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7614156,34895381,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7614323,36880684,pmc-fulltext,eligible,yes,no,yes,CC BY,open,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7614331,36936539,pmc-fulltext,eligible,yes,no,yes,CC BY,open,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7614565,37223108,pmc-fulltext,eligible,yes,no,yes,CC BY,open,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7614777,37248905,pmc-fulltext,eligible,yes,no,yes,CC BY,open,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7615156,36709053,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC7615275,37694368,pmc-fulltext,eligible,yes,no,yes,CC BY,open,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7615574,37385025,pmc-fulltext,eligible,yes,no,yes,CC BY,open,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7615783,38559705,pmc-fulltext,eligible,yes,no,yes,CC BY,open,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7615979,38584319,pmc-fulltext,eligible,yes,no,yes,CC BY,open,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7615981,38105553,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7616172,36378750,pmc-fulltext,eligible,yes,no,yes,CC BY,open,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7616177,34822784,pmc-fulltext,eligible,yes,no,yes,CC BY,open,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7616492,38659294,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7616546,39417728,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7616849,38663994,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC7616996,37303116,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7617257,40086903,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7617421,39956979,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC7618016,40822027,pmc-fulltext,eligible,no,no,yes,CC BY,open,author-manuscript;no-body,admissible; retrieval-time gates (currency/authority) apply
PMC7618018,39031360,pmc-fulltext,eligible,yes,no,yes,CC BY,open,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7618020,38837281,pmc-fulltext,eligible,yes,no,yes,CC BY,open,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7618088,40771046,pmc-fulltext,eligible,yes,no,yes,CC BY-NC-ND,cc-restrictive,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7618856,39096931,pmc-fulltext,eligible,yes,no,yes,CC BY,open,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7618942,34329959,pmc-fulltext,eligible,yes,no,yes,CC BY,open,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7619077,40788702,pmc-fulltext,eligible,yes,no,yes,CC BY,open,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7619195,41775023,pmc-fulltext,eligible,yes,no,yes,CC BY,open,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7748409,32515603,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7765738,32594886,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7775330,32608300,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7785685,32632205,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC7793388,33420609,pmc-fulltext,manual-review,yes,no,no,,none,no-license,identifier/licence needs adjudication before release
PMC7794099,32641180,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7855081,32721906,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7867665,32763848,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7884062,33589778,pmc-fulltext,manual-review,yes,no,no,,none,no-license,identifier/licence needs adjudication before release
PMC7891467,33604822,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC7909751,32819188,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7925698,32883179,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7927761,33660158,pmc-fulltext,manual-review,yes,no,no,,none,no-license,identifier/licence needs adjudication before release
PMC7940454,32901518,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7956907,33127308,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC7962078,33725290,pmc-fulltext,manual-review,yes,no,no,,none,no-license,identifier/licence needs adjudication before release
PMC7989248,33640979,pmc-fulltext,manual-review,yes,no,no,,none,no-license,identifier/licence needs adjudication before release
PMC8062578,33095080,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8071832,33100109,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
